Step Strain_x Stress_x Strain_y Stress_y
1136.0 0.4599033 12.609868 0.42861514 1.0707308 
1137.0 0.46004733 9.9308488 0.4284504 -1.8507365 
1138.0 0.46019136 7.377164 0.42830887 -4.5839063 
1139.0 0.46033539 5.431754 0.42822466 -6.7125286 
1140.0 0.46047942 7.7890829 0.42822431 -4.5445744 
1141.0 0.46062345 8.5009627 0.4282807 -3.9304522 
1142.0 0.46076749 10.97577 0.42838616 -1.4192959 
1143.0 0.46091152 14.39079 0.42850932 2.0750993 
1144.0 0.46105555 16.085332 0.4286065 3.8740366 
1145.0 0.46119958 17.121995 0.42865523 4.9840569 
1146.0 0.46134361 18.25923 0.42864164 6.0937345 
1147.0 0.46148764 19.147335 0.4285519 6.8843701 
1148.0 0.46163167 19.597364 0.42837616 7.2451464 
1149.0 0.46177571 19.194026 0.42811 6.7420069 
1150.0 0.46191974 15.003535 0.42775981 2.452534 
1151.0 0.46206377 10.798778 0.42737927 -1.9548332 
1152.0 0.4622078 10.132651 0.42702344 -2.8965797 
1153.0 0.46235183 10.183349 0.42670404 -3.1275506 
1154.0 0.46249586 10.005225 0.42642392 -3.5233133 
1155.0 0.4626399 10.628325 0.42618795 -3.1224897 
1156.0 0.46278393 11.40562 0.4259911 -2.4537248 
1157.0 0.46292796 14.198886 0.42582498 0.40704147 
1158.0 0.46307199 15.886374 0.42565392 2.1233355 
1159.0 0.46321602 16.244333 0.42545652 2.3734604 
1160.0 0.46336005 17.191906 0.42522972 3.1375997 
1161.0 0.46350408 16.625566 0.42496402 2.4594679 
1162.0 0.46364812 17.617109 0.42466792 3.2609496 
1163.0 0.46379215 17.185501 0.42433149 2.611651 
1164.0 0.46393618 15.819192 0.42396287 0.96661134 
1165.0 0.46408021 15.280068 0.42358259 0.07368599 
1166.0 0.46422424 11.801384 0.42320177 -3.7370384 
1167.0 0.46436827 9.9614546 0.42286777 -5.9015598 
1168.0 0.4645123 11.442915 0.42260741 -4.7252653 
1169.0 0.46465634 11.549631 0.42240598 -4.6709412 
1170.0 0.46480037 12.474741 0.42226274 -3.7921251 
1171.0 0.4649444 14.923516 0.42216671 -1.3685916 
1172.0 0.46508843 18.513197 0.42208776 2.2486942 
1173.0 0.46523246 19.461044 0.42198096 3.261523 
1174.0 0.46537649 20.725993 0.42183377 4.5238196 
1175.0 0.46552053 20.750481 0.42163056 4.3676149 
1176.0 0.46566456 20.72422 0.42137335 4.0995741 
1177.0 0.46580859 18.648473 0.42106552 1.7755969 
1178.0 0.46595262 15.037206 0.420736 -2.1498572 
1179.0 0.46609665 11.741819 0.42043348 -5.7381047 
1180.0 0.46624068 10.728339 0.42020239 -6.8487613 
1181.0 0.46638471 10.754283 0.4200564 -6.8730179 
1182.0 0.46652875 12.871134 0.41999571 -4.875398 
1183.0 0.46667278 15.173921 0.4199955 -2.6546963 
1184.0 0.46681681 18.093005 0.4200282 0.31208428 
1185.0 0.46696084 21.565591 0.420057 3.8495347 
1186.0 0.46710487 22.550991 0.42003807 4.8366178 
1187.0 0.4672489 22.082891 0.41995921 4.3898311 
1188.0 0.46739293 21.715466 0.41982601 3.9806977 
1189.0 0.46753697 20.702182 0.41964359 2.8692455 
1190.0 0.467681 19.342674 0.41942581 1.3410132 
1191.0 0.46782503 17.343859 0.41919162 -0.85908018 
1192.0 0.46796906 13.222033 0.41896832 -5.1296561 
1193.0 0.46811309 10.832853 0.41880877 -7.6130106 
1194.0 0.46825712 11.097488 0.41874366 -7.4288661 
1195.0 0.46840116 14.418667 0.4187706 -4.1966306 
1196.0 0.46854519 15.655296 0.41884951 -3.0106223 
1197.0 0.46868922 18.795299 0.41896567 0.074102557 
1198.0 0.46883325 20.193857 0.41908084 1.5434484 
1199.0 0.46897728 22.744072 0.41917679 4.1244186 
1200.0 0.46912131 25.729396 0.41922154 7.1162575 
1201.0 0.46926534 25.499493 0.41917803 6.8047803 
1202.0 0.46940938 23.348752 0.41905018 4.3947586 
1203.0 0.46955341 22.802821 0.41886797 3.5743704 
1204.0 0.46969744 20.427381 0.41864163 1.0456396 
1205.0 0.46984147 20.239534 0.41840257 0.6822009 
1206.0 0.4699855 18.363795 0.41815531 -1.3362134 
1207.0 0.47012953 16.313476 0.41792486 -3.4462537 
1208.0 0.47027356 15.823701 0.41773732 -3.9219814 
1209.0 0.4704176 16.910866 0.41759854 -2.8402811 
1210.0 0.47056163 18.962976 0.41749507 -0.83511136 
1211.0 0.47070566 20.596922 0.41740204 0.76625981 
1212.0 0.47084969 22.150812 0.41729962 2.2878986 
1213.0 0.47099372 22.577441 0.41716897 2.6347541 
1214.0 0.47113775 22.637647 0.41700585 2.5508246 
1215.0 0.47128179 23.268105 0.41681132 2.9065813 
1216.0 0.47142582 22.393668 0.41658102 1.7704607 
1217.0 0.47156985 21.075186 0.41632907 0.20517039 
1218.0 0.47171388 20.933046 0.41607485 -0.29215137 
1219.0 0.47185791 20.808555 0.41582453 -0.7752413 
1220.0 0.47200194 20.741891 0.41558406 -1.0822208 
1221.0 0.47214597 19.958162 0.41535723 -1.9287083 
1222.0 0.47229001 19.453046 0.41515448 -2.4817722 
1223.0 0.47243404 18.857465 0.41498261 -3.072394 
1224.0 0.47257807 20.936258 0.41484887 -1.0596643 
1225.0 0.4727221 21.82514 0.41472837 -0.16274322 
1226.0 0.47286613 21.832139 0.41461 -0.065754017 
1227.0 0.47301016 23.240977 0.41449257 1.3900756 
1228.0 0.47315419 25.04875 0.4143581 3.1128752 
1229.0 0.47329823 24.391212 0.41418534 2.3423826 
1230.0 0.47344226 22.580473 0.41398385 0.43293765 
1231.0 0.47358629 21.426625 0.41377724 -0.84173042 
1232.0 0.47373032 22.265722 0.41358125 -0.31163426 
1233.0 0.47387435 23.596518 0.41338932 0.68742719 
1234.0 0.47401838 24.260627 0.41318912 1.1426504 
1235.0 0.47416242 24.450823 0.41297506 1.0104409 
1236.0 0.47430645 24.156305 0.41274878 0.41308468 
1237.0 0.47445048 22.922503 0.41251767 -0.95716854 
1238.0 0.47459451 20.240698 0.41229862 -3.6730494 
1239.0 0.47473854 18.246328 0.41212509 -5.5736887 
1240.0 0.47488257 17.625436 0.41202043 -6.0883336 
1241.0 0.4750266 19.668288 0.4119909 -4.0496241 
1242.0 0.47517064 22.803468 0.41201131 -0.84199697 
1243.0 0.47531467 25.202653 0.41204208 1.6907766 
1244.0 0.4754587 25.424466 0.41205199 2.0299818 
1245.0 0.47560273 25.899873 0.41203688 2.4940995 
1246.0 0.47574676 26.588703 0.41199104 3.0050286 
1247.0 0.47589079 27.127689 0.41190821 3.2779554 
1248.0 0.47603483 26.208845 0.41178506 2.0626071 
1249.0 0.47617886 23.630659 0.41163663 -0.76545598 
1250.0 0.47632289 21.437578 0.41149779 -3.1059086 
1251.0 0.47646692 20.385203 0.41139739 -4.2635537 
1252.0 0.47661095 21.463962 0.41134963 -3.4224628 
1253.0 0.47675498 23.694107 0.41134411 -1.4571824 
1254.0 0.47689901 24.652614 0.41135656 -0.66174612 
1255.0 0.47704305 24.926988 0.41137717 -0.36861181 
1256.0 0.47718708 27.187519 0.41140231 1.9583951 
1257.0 0.47733111 30.269223 0.41140329 4.9967257 
1258.0 0.47747514 31.175484 0.41134266 5.812009 
1259.0 0.47761917 29.629808 0.41121042 4.3053417 
1260.0 0.4777632 27.484514 0.41102525 2.2017701 
1261.0 0.47790723 25.41861 0.41081315 0.24159718 
1262.0 0.47805127 24.299327 0.41059831 -0.86489737 
1263.0 0.4781953 22.874196 0.41039436 -2.4407957 
1264.0 0.47833933 22.063752 0.41022072 -3.4328309 
1265.0 0.47848336 20.673636 0.41008956 -4.9930175 
1266.0 0.47862739 22.137229 0.41002004 -3.7005889 
1267.0 0.47877142 24.065459 0.40999618 -1.8894426 
1268.0 0.47891546 25.642022 0.40999562 -0.39450115 
1269.0 0.47905949 26.979685 0.40999994 0.82907625 
1270.0 0.47920352 28.459383 0.40999404 2.1397633 
1271.0 0.47934755 28.113892 0.40996179 1.6007808 
1272.0 0.47949158 28.814116 0.40990985 2.1230914 
1273.0 0.47963561 29.334037 0.4098318 2.4582556 
1274.0 0.47977964 30.051118 0.40972355 3.00541 
1275.0 0.47992368 31.779826 0.40957839 4.5492565 
1276.0 0.48006771 29.491872 0.40937734 2.2548605 
1277.0 0.48021174 26.57612 0.40914875 -0.66948155 
1278.0 0.48035577 24.782185 0.40892865 -2.5909897 
1279.0 0.4804998 23.994519 0.40874071 -3.4942118 
1280.0 0.48064383 25.381957 0.408596 -2.1621673 
1281.0 0.48078786 25.892619 0.40847806 -1.6338564 
1282.0 0.4809319 26.220802 0.40838036 -1.2743587 
1283.0 0.48107593 28.278762 0.40829845 0.81951696 
1284.0 0.48121996 27.782984 0.40820654 0.42142745 
1285.0 0.48136399 28.731012 0.40810955 1.2690012 
1286.0 0.48150802 31.364052 0.40799705 3.6888195 
1287.0 0.48165205 33.078058 0.40783928 5.2481465 
1288.0 0.48179609 32.237167 0.40761711 4.1790602 
1289.0 0.48194012 30.366051 0.4073438 1.9882382 
1290.0 0.48208415 27.904533 0.40704637 -0.77448569 
1291.0 0.48222818 24.931623 0.40675882 -3.91615 
1292.0 0.48237221 23.780316 0.40651974 -5.2338209 
1293.0 0.48251624 25.795819 0.40634526 -3.442839 
1294.0 0.48266027 29.187834 0.40621328 -0.31338704 
1295.0 0.48280431 29.779053 0.4060853 0.378865 
1296.0 0.48294834 29.973672 0.40595282 0.74420953 
1297.0 0.48309237 30.28295 0.40581136 1.0577987 
1298.0 0.4832364 30.907924 0.40565707 1.6763324 
1299.0 0.48338043 32.997414 0.40548238 3.6788928 
1300.0 0.48352446 31.963658 0.40526275 2.6450746 
1301.0 0.48366849 29.613431 0.40501092 0.26929276 
1302.0 0.48381253 29.244618 0.4047561 -0.28537229 
1303.0 0.48395656 31.521258 0.4045051 1.5851454 
1304.0 0.48410059 31.882227 0.40423499 1.594104 
1305.0 0.48424462 28.784857 0.40394568 -1.6332146 
1306.0 0.48438865 28.40933 0.40367677 -2.2619592 
1307.0 0.48453268 28.231657 0.40343593 -2.6768231 
1308.0 0.48467672 25.599623 0.4032282 -5.3860352 
1309.0 0.48482075 26.817534 0.4030867 -4.3559284 
1310.0 0.48496478 30.013246 0.40299872 -1.3536658 
1311.0 0.48510881 32.382292 0.40292743 1.0012546 
1312.0 0.48525284 31.97936 0.40284397 0.70775338 
1313.0 0.48539687 31.459141 0.40275196 0.16492417 
1314.0 0.4855409 33.345287 0.40265803 1.8369925 
1315.0 0.48568494 35.443618 0.40254173 3.7959197 
1316.0 0.48582897 35.396136 0.40237911 3.6313401 
1317.0 0.485973 34.188605 0.40217224 2.3532995 
1318.0 0.48611703 33.255478 0.40193684 1.289792 
1319.0 0.48626106 30.871668 0.40168597 -1.3062603 
1320.0 0.48640509 28.369185 0.40145142 -4.0392269 
1321.0 0.48654912 26.09158 0.40126658 -6.4737543 
1322.0 0.48669316 25.99895 0.40116116 -6.6360174 
1323.0 0.48683719 25.690923 0.40113701 -6.9054018 
1324.0 0.48698122 29.438364 0.40119736 -3.2953088 
1325.0 0.48712525 34.604208 0.40129795 1.6363632 
1326.0 0.48726928 37.970543 0.40137842 4.778408 
1327.0 0.48741331 36.695724 0.40140033 3.4390292 
1328.0 0.48755735 34.290671 0.40138014 1.0900754 
1329.0 0.48770138 34.236869 0.40134664 0.9507573 
1330.0 0.48784541 34.321248 0.40130154 0.93933784 
1331.0 0.48798944 34.702903 0.401245 1.259127 
1332.0 0.48813347 35.011651 0.40117313 1.5423844 
1333.0 0.4882775 35.795998 0.40108247 2.230414 
1334.0 0.48842153 38.137491 0.40096463 4.412041 
1335.0 0.48856557 35.678749 0.40079294 1.8998604 
1336.0 0.4887096 33.219729 0.40059824 -0.66347409 
1337.0 0.48885363 32.606997 0.4004119 -1.4252398 
1338.0 0.48899766 35.156034 0.40024325 0.93780129 
1339.0 0.48914169 38.154904 0.40006335 3.7335416 
1340.0 0.48928572 36.024548 0.39983803 1.5815561 
1341.0 0.48942975 30.606998 0.39959369 -3.7487312 
1342.0 0.48957379 26.636643 0.3993955 -7.6684425 
1343.0 0.48971782 27.897037 0.39929129 -6.5184934 
1344.0 0.48986185 31.910621 0.39926687 -2.5715642 
1345.0 0.49000588 35.385319 0.39927392 0.93571047 
1346.0 0.49014991 37.248156 0.39926952 2.8124329 
1347.0 0.49029394 39.155249 0.39923077 4.6615267 
1348.0 0.49043798 40.859875 0.39913508 6.1946064 
1349.0 0.49058201 40.087327 0.3989638 5.2145242 
1350.0 0.49072604 38.397569 0.39872903 3.1692171 
1351.0 0.49087007 38.011541 0.39845587 2.3994874 
1352.0 0.4910141 37.687023 0.39815378 1.715616 
1353.0 0.49115813 34.556971 0.3978312 -1.5586038 
1354.0 0.49130216 33.710628 0.39752811 -2.4649506 
1355.0 0.4914462 33.405908 0.39725554 -2.766402 
1356.0 0.49159023 33.248415 0.39701712 -2.9029099 
1357.0 0.49173426 34.024189 0.39681444 -2.1873624 
1358.0 0.49187829 35.232553 0.39663873 -0.97436016 
1359.0 0.49202232 36.08513 0.39647515 -0.048910905 
1360.0 0.49216635 35.412181 0.3963124 -0.60298733 
1361.0 0.49231038 34.956752 0.39615724 -0.99567326 
1362.0 0.49245442 34.150513 0.39601443 -1.7689305 
1363.0 0.49259845 33.791425 0.39589338 -2.0230598 
1364.0 0.49274248 34.053793 0.39579716 -1.8254013 
1365.0 0.49288651 36.286661 0.39572331 0.064542946 
1366.0 0.49303054 37.240836 0.39564878 0.61756303 
1367.0 0.49317457 37.04538 0.39556683 0.039729032 
1368.0 0.49331861 35.471894 0.39548452 -1.85866 
1369.0 0.49346264 36.493233 0.39542497 -1.1963435 
1370.0 0.49360667 37.358489 0.39538008 -0.60836459 
1371.0 0.4937507 37.594049 0.39534267 -0.51236463 
1372.0 0.49389473 37.702389 0.39531156 -0.44091452 
1373.0 0.49403876 38.923587 0.39528586 0.69309454 
1374.0 0.49418279 39.360788 0.39525176 1.0841184 
1375.0 0.49432683 40.756344 0.39520451 2.4936476 
1376.0 0.49447086 39.641648 0.39512693 1.6072795 
1377.0 0.49461489 37.64569 0.39502988 -0.13983317 
1378.0 0.49475892 39.176149 0.39493467 1.3905685 
1379.0 0.49490295 38.800043 0.39482265 0.99752192 
1380.0 0.49504698 37.766411 0.39469863 -0.13987455 
1381.0 0.49519101 37.713385 0.3945765 -0.29925672 
1382.0 0.49533505 37.168577 0.39445818 -0.99143959 
1383.0 0.49547908 36.82416 0.39435211 -1.5283209 
1384.0 0.49562311 37.325682 0.39426481 -1.2027877 
1385.0 0.49576714 38.991102 0.39419228 0.21808698 
1386.0 0.49591117 38.528778 0.3941172 -0.46066429 
1387.0 0.4960552 37.727035 0.39404784 -1.4746015 
1388.0 0.49619924 37.563904 0.39399653 -1.8393837 
1389.0 0.49634327 39.342578 0.39396771 -0.30630784 
1390.0 0.4964873 41.804518 0.39394266 1.9461957 
1391.0 0.49663133 42.293047 0.39389394 2.3796064 
1392.0 0.49677536 43.442543 0.39381631 3.510159 
1393.0 0.49691939 44.073751 0.39369602 4.1217909 
1394.0 0.49706342 45.868808 0.39352571 5.8793912 
1395.0 0.49720746 44.819776 0.39328404 4.8953799 
1396.0 0.49735149 43.61456 0.39298313 3.6368046 
1397.0 0.49749552 43.066137 0.39263843 2.9365047 
1398.0 0.49763955 41.820683 0.39225856 1.4026188 
1399.0 0.49778358 39.238251 0.39186225 -1.4569307 
1400.0 0.49792761 36.089399 0.39148432 -4.7023371 
1401.0 0.49807164 33.802721 0.39116415 -6.9785788 
1402.0 0.49821568 32.774624 0.39092926 -7.967497 
1403.0 0.49835971 34.079411 0.39079148 -6.6886 
1404.0 0.49850374 36.232967 0.39073513 -4.6186999 
1405.0 0.49864777 41.459924 0.39073494 0.451366 
1406.0 0.4987918 44.562315 0.39072928 3.3807093 
1407.0 0.49893583 46.672942 0.39068258 5.2759921 
1408.0 0.49907987 46.933413 0.3905719 5.3146658 
1409.0 0.4992239 44.883619 0.39039685 3.0856682 
1410.0 0.49936793 43.307865 0.39018463 1.2828328 
1411.0 0.49951196 41.223422 0.38995719 -1.014261 
1412.0 0.49965599 41.326604 0.38974243 -1.1902926 
1413.0 0.49980002 42.798574 0.38954247 0.0050608804 
1414.0 0.49994405 42.921866 0.38934277 -0.11098441 
1415.0 0.50008809 43.560268 0.38914475 0.33100147 
1416.0 0.50023212 42.491862 0.38894304 -0.65139783 
1417.0 0.50037615 42.441692 0.38874957 -0.56731128 
1418.0 0.50052018 42.601873 0.3885633 -0.28183972 
1419.0 0.50066421 42.307821 0.38838075 -0.41249759 
1420.0 0.50080824 40.380547 0.38820351 -2.0890252 
1421.0 0.50095227 41.568808 0.38805187 -0.95806067 
1422.0 0.50109631 44.253558 0.38791209 1.5121512 
1423.0 0.50124034 42.58757 0.38775423 -0.18332429 
1424.0 0.50138437 40.185326 0.38759886 -2.5369482 
1425.0 0.5015284 38.149879 0.38747447 -4.6631791 
1426.0 0.50167243 38.215759 0.38740674 -4.8610526 
1427.0 0.50181646 41.018138 0.38739799 -2.5551506 
1428.0 0.5019605 43.689015 0.38742019 -0.27042345 
1429.0 0.50210453 45.369154 0.38744565 1.1897443 
1430.0 0.50224856 46.589682 0.38745667 2.2322143 
1431.0 0.50239259 47.004487 0.38744064 2.5063694 
1432.0 0.50253662 46.534374 0.38739428 1.9249949 
1433.0 0.50268065 45.849455 0.38732467 1.2335194 
1434.0 0.50282468 46.470858 0.38724024 1.9093989 
1435.0 0.50296872 46.174049 0.38713282 1.7192349 
1436.0 0.50311275 46.164596 0.38700475 1.7487589 
1437.0 0.50325678 46.414069 0.38685572 2.0637627 
1438.0 0.50340081 47.085438 0.38668195 2.7534657 
1439.0 0.50354484 47.074212 0.38647513 2.7737234 
1440.0 0.50368887 45.224766 0.38623509 0.96137969 
1441.0 0.5038329 43.286107 0.38598384 -0.93420959 
1442.0 0.50397694 40.954112 0.38574433 -3.373701 
1443.0 0.50412097 39.604264 0.38554605 -5.0326517 
1444.0 0.504265 40.472605 0.38540899 -4.514342 
1445.0 0.50440903 41.887136 0.38532676 -3.2789799 
1446.0 0.50455306 42.147899 0.38528432 -3.0534152 
1447.0 0.50469709 43.778115 0.38527889 -1.4836949 
1448.0 0.50484113 45.077896 0.38529142 -0.35479386 
1449.0 0.50498516 46.193731 0.38530823 0.49570711 
1450.0 0.50512919 47.851724 0.38531902 1.8360992 
1451.0 0.50527322 49.05359 0.38530759 2.8282792 
1452.0 0.50541725 47.908738 0.38526197 1.6193924 
1453.0 0.50556128 47.968751 0.38519683 1.6757782 
1454.0 0.50570531 49.123811 0.38511152 2.8027156 
1455.0 0.50584935 48.154533 0.38499246 1.7798518 
1456.0 0.50599338 45.901233 0.38485206 -0.60985239 
1457.0 0.50613741 44.245488 0.38471929 -2.3390978 
1458.0 0.50628144 45.991146 0.38461504 -0.58487728 
1459.0 0.50642547 47.104953 0.38451804 0.53799025 
1460.0 0.5065695 47.806611 0.38441471 1.2440873 
1461.0 0.50671353 48.878024 0.38429652 2.2575108 
1462.0 0.50685757 46.482976 0.38415122 -0.14066427 
1463.0 0.5070016 46.504114 0.38400789 -0.24117985 
1464.0 0.50714563 46.455348 0.38386771 -0.50614002 
1465.0 0.50728966 47.170816 0.38373391 -0.027936318 
1466.0 0.50743369 48.617551 0.38360067 1.1590201 
1467.0 0.50757772 48.662033 0.38345366 1.0250395 
1468.0 0.50772176 47.723701 0.38329452 0.034443421 
1469.0 0.50786579 45.768773 0.38313524 -2.0482443 
1470.0 0.50800982 44.889943 0.383001 -3.130639 
